Aal;Aal;10000;26300;1400;2300;0;0;0;0
Absinth (45% Vol.);Absinth (45% Vol.);10000;25600;0;0;0;0;0;3600
Acai;Acai;10000;20700;500;1900;400;200;0;0
Acerola;Acerola;10000;1800;0;0;350;350;200;0
Ackerbohnen;Ackerbohne;10000;12700;800;60;1800;900;900;0
Afa Alge frisch;Afa Alge frisch;10000;4400;600;40;200;0;400;0
Agavendicksaft;Agavendicksaft;10000;31200;10;40;7700;7500;0;0
Ahornsirup;Ahornsirup;10000;26000;0;0;6500;6500;0;0
Ajvar;Ajvar;10000;9700;150;500;1060;700;200;0
Aloe Vera Saft;Aloe Vera Saft;10000;200;10;0;40;0;20;0
Altbier;Altbier;10000;5100;50;0;540;200;0;390
Amaranth;Amaranth;10000;37600;1430;900;5500;200;870;0
Ananas;Ananas;10000;5100;40;20;1150;1130;100;0
Ananassaft;Ananassaft;10000;5100;40;10;1200;1200;20;0
Anis;Anis;10000;30300;630;200;6500;0;0;0
Aperol Likör;Aperol Likör;10000;20600;0;0;2500;2500;0;1500
Apfel;Apfel;10000;5200;40;20;1100;1040;240;0
Apfeldicksaft;Apfeldicksaft;10000;27900;0;0;6900;6800;140;0
Apfelessig;Apfelessig;10000;400;0;0;100;50;0;0
Apfelkuchen;Apfelkuchen;10000;24500;200;980;3600;1400;240;0
Apfelmus;Apfelmus;10000;7300;20;20;1700;1500;100;0
Apfelringe getrocknet;Apfelringe getrocknet;10000;28000;150;140;6000;5400;1090;0
Apfelsaft;Apfelsaft;10000;4400;0;0;1100;1100;0;0
Apfelschorle;Apfelschorle;10000;2800;0;0;700;700;0;0
Apfelwein;Apfelwein;10000;5700;0;0;400;400;0;580
Appenzeller;Appenzeller;10000;37500;2400;3100;0;0;0;0
Aprikose;Aprikose;10000;4200;100;0;900;900;100;0
Aronia Beeren;Aronia Beeren;10000;11400;250;200;2000;1800;300;0
Artischocke;Artischocke;10000;4100;200;0;290;290;1090;0
Aubergine;Aubergine;10000;3000;100;90;300;210;290;0
Auster;Auster;10000;4400;1000;50;0;0;0;0
Austernpilze;Austernpilz;10000;2000;200;0;0;0;600;0
